id,title,programme,opening_date,deadline,funding_amount,funding_source,official_link,document_link,eligible_applicants,partnership_requirements,other_requirements,summary,themes,relevance_score,relevance_category,relevance_explanation,deadline_status
sudoe-3rd-call,3rd call,Interreg Sudoe,2026-05-04,2026-05-04,"€1,000,000",Interreg Sudoe,https://interreg-sudoe.eu/en/3rd-call/,"",Entidades públicas; Entidades privadas sem fins lucrativos,"Parceria transnacional com pelo menos um beneficiário de Portugal, Espanha e França; confirmar os requisitos no aviso oficial.",Financiamento FEDER até 75%; candidatura em parceria transnacional.,"Launch of the 3rd Interreg Sudoe call: Focus on capitalisation Following two standard calls for projects that supported 76 transnational projects, the Interreg Sudoe programme is launching its third call for proposals, fully focused on capitalisation , with the aim of enhancing the visibility of results from previous calls.",climate; community_development; digital_public_services; environment; inclusion; public_space,100,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, incide em temas relevantes para políticas locais, tem prazo próximo.",Prazo ultrapassado
sudoe-4th-call,4th call,Interreg Sudoe,2026-08-28,2026-05-04,"",Interreg Sudoe,https://interreg-sudoe.eu/en/4th-call/,"",Entidades públicas; Entidades privadas sem fins lucrativos,"Parceria transnacional com pelo menos um beneficiário de Portugal, Espanha e França; confirmar os requisitos no aviso oficial.",Financiamento FEDER até 75%; candidatura em parceria transnacional.,"Taking action against wildfires and population ageing Following the increase in ERDF funding granted by the European Commission in 2023, the Interreg Sudoe programme is launching a fourth call dedicated to structuring projects. The objective is to provide ambitious transnational solutions to two major challenges in the south‑west European area.",climate; community_development; environment; inclusion; public_space,100,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, incide em temas relevantes para políticas locais, tem prazo próximo.",Prazo ultrapassado
eu-ft-life-2026-cet-enercom,Facilitating cooperation among energy communities,LIFE,2026-04-21,2026-09-16,"€7,000,000 total",EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/life-2026-cet-enercom,"",Municípios ou autoridades locais; Entidades públicas,O texto da oportunidade indica requisitos de consórcio ou parceria; confirmar no aviso oficial.,"","Este aviso do programa LIFE visa apoiar a cooperação entre comunidades de energia. A iniciativa, com uma dotação total de 7 milhões de euros, destina-se a entidades públicas e autoridades locais ou municípios interessados em promover este setor.",civic_participation; climate; community_development; inclusion,100,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, incide em temas relevantes para políticas locais, tem prazo próximo.",Prazo muito próximo
eu-ft-horizon-miss-2026-01-clima-05,Demonstrating solutions to protect and preserve cultural heritage from the impacts of climate change,Horizon Europe,2026-02-04,2026-09-23,"€21,000,000 total; até €7,000,000/projeto",EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-miss-2026-01-clima-05,"",Municípios ou autoridades locais,O texto da oportunidade indica requisitos de consórcio ou parceria; confirmar no aviso oficial.,"",O programa Horizonte Europa financia projetos destinados a demonstrar soluções inovadoras para a proteção e preservação do património cultural face aos impactos das alterações climáticas.,accessibility; climate; community_development; environment; inclusion,100,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, incide em temas relevantes para políticas locais, tem prazo próximo.",Prazo muito próximo
eu-ft-horizon-neb-2026-01-participation-01,Addressing homelessness through housing-led approaches aligned with the New European Bauhaus,Horizon Europe,2026-05-05,2026-12-01,"€12,600,000 total; até €6,300,000/projeto",EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-neb-2026-01-participation-01,"",Municípios ou autoridades locais,O texto da oportunidade indica requisitos de consórcio ou parceria; confirmar no aviso oficial.,"","Este convite do programa Horizonte Europa foca-se na resolução da problemática dos sem-abrigo através de estratégias habitacionais integradas, alinhadas com os princípios da Nova Bauhaus Europeia.",accessibility; civic_participation; climate; community_development; digital_public_services; environment; equality; inclusion; mobility; public_space,100,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, incide em temas relevantes para políticas locais.",Prazo com margem
eu-ft-horizon-neb-2026-01-regen-02,Advancing sustainable maintenance and repair measures for existing buildings,Horizon Europe,2026-05-05,2026-12-01,"€10,000,000 total; até €5,000,000/projeto",EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-neb-2026-01-regen-02,"",Municípios ou autoridades locais,"","","Esta iniciativa do programa Horizonte Europa foca-se no avanço de medidas sustentáveis para a manutenção e reparação de edifícios já existentes. O apoio financeiro destina-se a projetos que promovam a reabilitação do edificado, sendo elegíveis candidaturas apresentadas por municípios ou autoridades locais.",accessibility; climate; community_development; environment; inclusion; public_space,100,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, incide em temas relevantes para políticas locais.",Prazo com margem
eu-ft-horizon-neb-2026-01-business-03,"Approaches to reuse vacant, obsolete or underutilised spaces",Horizon Europe,2026-05-05,2026-12-01,"€9,000,000 total; até €4,500,000/projeto",EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-neb-2026-01-business-03,"",Municípios ou autoridades locais; Entidades públicas,"","","O programa Horizonte Europa financia abordagens inovadoras para a reutilização de espaços vagos, obsoletos ou subutilizados. O objetivo é fomentar a regeneração urbana e a adaptação destas áreas para novas funções, contando com um orçamento total de 9 milhões de euros, prevendo-se uma dotação de até 4,5 milhões de euros por projeto aprovado.",accessibility; climate; community_development; environment; inclusion; public_space,100,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, incide em temas relevantes para políticas locais.",Prazo com margem
eu-ft-horizon-neb-2026-01-participation-02,Innovative approaches for the spatial design of neighbourhoods,Horizon Europe,2026-05-05,2026-12-01,"€10,000,000 total; até €5,000,000/projeto",EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-neb-2026-01-participation-02,"",Municípios ou autoridades locais,O texto da oportunidade indica requisitos de consórcio ou parceria; confirmar no aviso oficial.,"","O programa Horizonte Europa financia abordagens inovadoras para o desenho espacial de bairros, com um orçamento total de 10 milhões de euros e um limite de 5 milhões por projeto. A iniciativa é dirigida a municípios e autoridades locais.",accessibility; civic_participation; climate; community_development; environment; equality; inclusion; mobility; public_space,100,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, incide em temas relevantes para políticas locais.",Prazo com margem
eu-ft-horizon-neb-2026-01-regen-03,Innovative solutions for the sustainable and beautiful use of vertical space,Horizon Europe,2026-05-05,2026-12-01,"€15,000,000 total; até €5,000,000/projeto",EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-neb-2026-01-regen-03,"",Municípios ou autoridades locais,"","","O programa Horizonte Europa financia soluções inovadoras para a utilização sustentável e estética do espaço vertical. O convite visa apoiar projetos que promovam a regeneração urbana, sendo elegíveis municípios ou autoridades locais.",accessibility; climate; community_development; environment; inclusion; public_space,100,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, incide em temas relevantes para políticas locais.",Prazo com margem
eu-ft-horizon-neb-2026-01-regen-01,"Sustainable, inclusive, affordable and beautiful solutions for thermal comfort in buildings",Horizon Europe,2026-05-05,2026-12-01,"€12,000,000 total; até €4,000,000/projeto",EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-neb-2026-01-regen-01,"",Municípios ou autoridades locais,"","","O programa Horizonte Europa financia soluções sustentáveis, inclusivas, acessíveis e estéticas para o conforto térmico em edifícios. O objetivo é promover a regeneração do ambiente construído através de abordagens inovadoras e eficientes, garantindo a qualidade de vida e a eficiência energética.",accessibility; climate; community_development; environment; inclusion; public_space,100,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, incide em temas relevantes para políticas locais.",Prazo com margem
eu-ft-horizon-neb-2026-01-business-02,Understanding capital market dynamics for increased investment in New European Bauhaus projects in neighbourhoods,Horizon Europe,2026-05-05,2026-12-01,"€7,000,000 total; até €3,500,000/projeto",EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-neb-2026-01-business-02,"",Entidades públicas,"","",Esta iniciativa do programa Horizonte Europa foca-se na compreensão da dinâmica dos mercados de capitais para promover o aumento do investimento em projetos da Nova Bauhaus Europeia em bairros locais.,accessibility; climate; community_development; environment; inclusion; public_space,100,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, incide em temas relevantes para políticas locais.",Prazo com margem
